Year,Month,MonthlyCrimeCount,AvgMonthlyCrime
2021.0,12.0,17855,17403.333333333332
2022.0,1.0,18430,19499.083333333332
2022.0,2.0,17652,19499.083333333332
2022.0,3.0,19651,19499.083333333332
2022.0,4.0,19741,19499.083333333332
2022.0,5.0,20376,19499.083333333332
2022.0,6.0,20180,19499.083333333332
2022.0,7.0,19898,19499.083333333332
2022.0,8.0,20028,19499.083333333332
2022.0,9.0,19229,19499.083333333332
2022.0,10.0,20221,19499.083333333332
2022.0,11.0,18653,19499.083333333332
2022.0,12.0,19930,19499.083333333332
2023.0,1.0,19818,19223.833333333332
2023.0,2.0,18391,19223.833333333332
2023.0,3.0,19096,19223.833333333332
2023.0,4.0,18754,19223.833333333332
2023.0,5.0,18811,19223.833333333332
2023.0,6.0,18614,19223.833333333332
2023.0,7.0,19837,19223.833333333332
2023.0,8.0,19942,19223.833333333332
2023.0,9.0,19196,19223.833333333332
2023.0,10.0,19966,19223.833333333332
2023.0,11.0,18913,19223.833333333332
2023.0,12.0,19348,19223.833333333332
