Year,District,TotalCrimes,MostFrequentCrime,CrimeCount,DistrictIndex
2014.0,West Valley,7918,THEFT,2434,0.4690264971544159
2014.0,Wilshire,7920,THEFT,2475,0.49555569346583556
2015.0,77th Street,14631,ASSAULT,4120,0.30268329823389795
2015.0,Central,10355,ASSAULT,2836,0.2832474431438486
2015.0,Devonshire,10003,THEFT,3634,0.23146901595535274
2015.0,Foothill,7694,THEFT,2178,0.6239847124265896
2015.0,Harbor,9485,THEFT,2489,0.7659210390891162
2015.0,Hollenbeck,8004,ASSAULT,1961,0.4539222230713945
2015.0,Hollywood,9765,THEFT,2977,0.5481513084146836
2015.0,Mission,10611,THEFT,2849,0.7293094723087357
2015.0,N Hollywood,11785,THEFT,4120,0.2702720973807869
2015.0,Newton,9653,ASSAULT,2529,0.40768811981730824
2015.0,Northeast,10250,THEFT,3005,0.5417420643916869
2015.0,Olympic,9837,THEFT,2441,0.7024190880439709
2015.0,Pacific,11703,THEFT,4401,0.1573303183171656
2015.0,Rampart,9283,ASSAULT,2399,0.4800531126302593
2015.0,Southeast,11089,ASSAULT,3127,0.3075914701829184
2015.0,Southwest,13885,THEFT,3800,0.6157181876630418
2015.0,Topanga,9900,THEFT,3778,0.1463131582418166
2015.0,Van Nuys,10444,THEFT,3457,0.37641877855814254
2015.0,West LA,9701,THEFT,3579,0.15819394169005316
2015.0,West Valley,8695,THEFT,2771,0.40209161736445564
2015.0,Wilshire,8356,THEFT,2862,0.3468827155209258
2016.0,77th Street,15372,ASSAULT,4130,0.37400941126953163
2016.0,Central,10942,THEFT,3056,0.3105142504444169
2016.0,Devonshire,10336,THEFT,3810,0.21516507390756123
2016.0,Foothill,7954,THEFT,2073,0.7714638446708717
2016.0,Harbor,9527,THEFT,2081,0.7346684178635876
2016.0,Hollenbeck,9178,ASSAULT,2269,0.4427664725704844
2016.0,Hollywood,10598,THEFT,3016,0.6630706952863465
2016.0,Mission,11038,THEFT,2842,0.766692715475724
2016.0,N Hollywood,12066,THEFT,3937,0.36234634448299513
2016.0,Newton,11028,ASSAULT,2794,0.45677101691840816
2016.0,Northeast,10380,THEFT,2866,0.6535973885783913
2016.0,Olympic,10571,THEFT,2502,0.7150321597982058
2016.0,Pacific,11759,THEFT,4120,0.2545693766844483
2016.0,Rampart,9184,ASSAULT,2255,0.5487161758964343
2016.0,Southeast,11493,ASSAULT,3095,0.37432346185355403
2016.0,Southwest,14169,THEFT,3419,0.5819290947495248
2016.0,Topanga,10997,THEFT,4059,0.18673175475299997
2016.0,Van Nuys,10471,THEFT,3373,0.4206893879186781
2016.0,West LA,9375,THEFT,3418,0.16848810950097196
2016.0,West Valley,9669,THEFT,2926,0.47946941247032426
2016.0,Wilshire,9062,THEFT,2816,0.4853618464680769
2017.0,77th Street,15487,ASSAULT,4284,0.33422410767813204
2017.0,Central,11917,ASSAULT,3267,0.27659541179360414
2017.0,Devonshire,10646,THEFT,3708,0.29717991599802535
2017.0,Foothill,8169,THEFT,2157,0.7607233416854251
2017.0,Harbor,9671,THEFT,2179,0.6768829885376055
2017.0,Hollenbeck,9042,ASSAULT,2165,0.49536701829368246
2017.0,Hollywood,11294,THEFT,3019,0.7258834266662518
2017.0,Mission,10849,THEFT,2771,0.7128126977257683
2017.0,N Hollywood,12400,THEFT,3776,0.49145097473652716
2017.0,Newton,11720,ASSAULT,2912,0.4817394594310724
2017.0,Northeast,10508,THEFT,2748,0.7588871268014882
2017.0,Olympic,11128,THEFT,2599,0.7378732842972494
