Year,District,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_0_WeaponPercentage,Hour_1_WeaponPercentage,Hour_2_WeaponPercentage,Hour_3_WeaponPercentage,Hour_4_WeaponPercentage,Hour_5_WeaponPercentage,Hour_6_WeaponPercentage,Hour_7_WeaponPercentage,Hour_8_WeaponPercentage,Hour_9_WeaponPercentage,Hour_10_WeaponPercentage,Hour_11_WeaponPercentage,Hour_12_WeaponPercentage,Hour_13_WeaponPercentage,Hour_14_WeaponPercentage,Hour_15_WeaponPercentage,Hour_16_WeaponPercentage,Hour_17_WeaponPercentage,Hour_18_WeaponPercentage,Hour_19_WeaponPercentage,Hour_20_WeaponPercentage,Hour_21_WeaponPercentage,Hour_22_WeaponPercentage,Hour_23_WeaponPercentage,Hour_0_MostUsedWeapon,Hour_1_MostUsedWeapon,Hour_2_MostUsedWeapon,Hour_3_MostUsedWeapon,Hour_4_MostUsedWeapon,Hour_5_MostUsedWeapon,Hour_6_MostUsedWeapon,Hour_7_MostUsedWeapon,Hour_8_MostUsedWeapon,Hour_9_MostUsedWeapon,Hour_10_MostUsedWeapon,Hour_11_MostUsedWeapon,Hour_12_MostUsedWeapon,Hour_13_MostUsedWeapon,Hour_14_MostUsedWeapon,Hour_15_MostUsedWeapon,Hour_16_MostUsedWeapon,Hour_17_MostUsedWeapon,Hour_18_MostUsedWeapon,Hour_19_MostUsedWeapon,Hour_20_MostUsedWeapon,Hour_21_MostUsedWeapon,Hour_22_MostUsedWeapon,Hour_23_MostUsedWeapon
2010.0,Northeast,485,319,240,151,123,84,139,239,553,324,442,390,802,442,501,531,518,576,639,671,664,592,610,549,34.02061855670103,44.5141065830721,42.5,39.735099337748345,37.39837398373984,33.33333333333333,17.26618705035971,23.84937238493724,14.828209764918626,31.17283950617284,24.8868778280543,31.025641025641026,20.074812967581046,28.733031674208142,30.13972055888224,32.7683615819209,31.08108108108108,32.46527777777778,28.482003129890455,28.46497764530551,29.819277108433734,29.39189189189189,29.836065573770494,29.508196721311474,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,Olympic,387,288,272,174,115,89,121,164,324,277,338,369,709,347,435,433,463,474,515,513,523,474,493,434,39.53488372093023,51.736111111111114,61.39705882352941,60.3448275862069,52.17391304347826,59.55056179775281,36.36363636363637,31.097560975609756,29.32098765432099,35.74007220216607,34.61538461538461,39.02439024390244,23.413258110014105,40.92219020172911,41.60919540229885,42.032332563510394,41.03671706263499,40.50632911392405,35.14563106796116,36.45224171539961,41.30019120458891,43.88185654008439,41.784989858012175,44.70046082949309,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,Pacific,401,317,252,165,135,139,215,316,493,425,535,458,800,500,561,542,562,588,626,667,667,579,596,526,26.932668329177055,38.170347003154575,38.88888888888889,41.81818181818181,28.14814814814815,28.05755395683453,18.13953488372093,18.354430379746837,17.038539553752535,19.76470588235294,25.04672897196262,22.925764192139738,17.25,25.8,19.786096256684495,28.782287822878228,24.91103202846975,25.34013605442177,22.843450479233226,29.235382308845576,25.037481259370313,27.806563039723663,27.181208053691275,26.996197718631176,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,Rampart,391,299,271,170,123,93,114,198,308,292,323,318,608,353,392,410,457,448,493,497,572,506,538,500,46.80306905370844,59.86622073578596,66.42066420664207,57.647058823529406,57.72357723577236,52.68817204301075,42.10526315789473,44.94949494949495,36.688311688311686,39.38356164383562,40.55727554179567,44.339622641509436,33.38815789473684,44.759206798866856,41.83673469387755,46.58536585365854,43.544857768052516,41.294642857142854,44.62474645030426,43.460764587525155,51.39860139860139,51.38339920948617,46.09665427509294,47.599999999999994,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,Southeast,381,292,230,151,141,127,207,315,460,448,513,516,969,518,523,610,566,556,606,548,655,637,568,495,43.30708661417323,50.68493150684932,53.91304347826087,50.331125827814574,49.645390070921984,39.37007874015748,36.71497584541063,40.0,40.21739130434783,42.63392857142857,46.00389863547758,50.3875968992248,32.19814241486068,51.15830115830116,49.90439770554494,56.0655737704918,51.76678445229682,48.92086330935252,45.54455445544555,44.34306569343065,47.63358778625954,48.35164835164835,42.95774647887324,45.25252525252525,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,Southwest,521,376,329,237,172,172,210,383,513,475,579,594,1024,626,695,736,758,822,841,759,771,725,710,583,43.186180422264876,55.58510638297872,49.544072948328264,49.789029535864984,39.53488372093023,43.604651162790695,33.80952380952381,37.59791122715404,31.189083820662766,39.1578947368421,36.44214162348877,43.77104377104377,29.1015625,45.04792332268371,40.28776978417266,42.391304347826086,39.97361477572559,40.2676399026764,39.35790725326992,42.55599472990777,44.61738002594034,44.275862068965516,43.802816901408455,47.684391080617495,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,Topanga,408,234,176,129,84,92,126,238,439,312,430,401,916,444,538,587,537,564,634,601,579,526,471,412,32.84313725490196,49.572649572649574,48.29545454545455,45.73643410852713,32.142857142857146,32.608695652173914,26.984126984126984,25.630252100840334,19.134396355353076,24.679487179487182,23.953488372093023,33.416458852867834,16.70305676855895,28.37837837837838,26.20817843866171,25.383304940374785,23.463687150837988,23.75886524822695,28.23343848580442,28.618968386023298,31.606217616580313,39.543726235741445,39.70276008492569,43.203883495145625,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,Van Nuys,346,249,201,172,112,78,147,223,431,356,390,379,966,417,530,573,552,595,630,608,620,569,477,433,27.45664739884393,37.75100401606426,36.318407960199,31.3953488372093,36.607142857142854,25.64102564102564,23.12925170068027,17.937219730941703,16.473317865429234,22.752808988764045,23.333333333333332,25.593667546174142,19.151138716356108,23.26139088729017,22.641509433962266,23.38568935427574,23.731884057971016,21.34453781512605,23.015873015873016,25.493421052631575,21.612903225806452,28.646748681898064,30.398322851153043,29.099307159353348,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,West LA,293,177,154,99,58,64,87,157,379,358,466,364,797,391,375,423,471,463,499,448,486,404,411,355,25.938566552901023,33.89830508474576,36.36363636363637,32.323232323232325,29.310344827586203,31.25,24.137931034482758,19.745222929936308,14.511873350923482,20.11173184357542,16.30901287553648,21.153846153846153,12.923462986198246,16.36828644501279,21.066666666666666,24.822695035460992,22.29299363057325,18.3585313174946,20.440881763527056,19.642857142857142,20.5761316872428,25.247524752475247,23.844282238442823,27.042253521126757,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2010.0,West Valley,419,225,203,140,103,79,125,253,394,345,433,357,949,403,406,472,461,517,572,526,515,451,501,394,27.44630071599045,36.888888888888886,43.84236453201971,35.0,36.89320388349515,29.11392405063291,18.4,18.181818181818183,14.974619289340103,17.101449275362317,20.092378752886837,26.05042016806723,16.754478398314017,30.024813895781637,25.862068965517242,27.33050847457627,25.16268980477224,26.692456479690524,20.97902097902098,28.13688212927757,30.097087378640776,30.598669623059866,29.740518962075846,32.48730964467005,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
