Year,District,TotalCrimes,MostFrequentCrime,CrimeCount,DistrictIndex
2014.0,West Valley,7918,THEFT,2434,0.056981260299552305
2014.0,Wilshire,7920,THEFT,2475,0.28382781833033044
2015.0,77th Street,14631,ASSAULT,4120,0.6017979996542016
2015.0,Central,10355,ASSAULT,2836,0.04575401838221418
2015.0,Devonshire,10003,THEFT,3634,0.37519814210724606
2015.0,Foothill,7694,THEFT,2178,0.020811405760132018
2015.0,Harbor,9485,THEFT,2489,0.08854142615739559
2015.0,Hollenbeck,8004,ASSAULT,1961,0.20138757050271328
2015.0,Hollywood,9765,THEFT,2977,0.3133298920580926
2015.0,Mission,10611,THEFT,2849,0.15385828282727967
2015.0,N Hollywood,11785,THEFT,4120,0.20241221577565144
2015.0,Newton,9653,ASSAULT,2529,0.4455589377221612
2015.0,Northeast,10250,THEFT,3005,0.1162633786411428
2015.0,Olympic,9837,THEFT,2441,0.7467361958335035
2015.0,Pacific,11703,THEFT,4401,0.16957133749402958
2015.0,Rampart,9283,ASSAULT,2399,0.8002997093223513
2015.0,Southeast,11089,ASSAULT,3127,0.5465252822783926
2015.0,Southwest,13885,THEFT,3800,0.5176339583653529
2015.0,Topanga,9900,THEFT,3778,0.09172992543730694
2015.0,Van Nuys,10444,THEFT,3457,0.24218048899834968
2015.0,West LA,9701,THEFT,3579,0.01234871855801431
2015.0,West Valley,8695,THEFT,2771,0.06884779037282661
2015.0,Wilshire,8356,THEFT,2862,0.3028440402546301
2016.0,77th Street,15372,ASSAULT,4130,0.6356505770531965
2016.0,Central,10942,THEFT,3056,0.05206124745021247
2016.0,Devonshire,10336,THEFT,3810,0.3898353056944825
2016.0,Foothill,7954,THEFT,2073,0.023867891605702688
2016.0,Harbor,9527,THEFT,2081,0.08918221855463053
2016.0,Hollenbeck,9178,ASSAULT,2269,0.24041565556398656
2016.0,Hollywood,10598,THEFT,3016,0.34570995529569026
2016.0,Mission,11038,THEFT,2842,0.1626865823936811
2016.0,N Hollywood,12066,THEFT,3937,0.20889519885880622
2016.0,Newton,11028,ASSAULT,2794,0.5183225784798198
2016.0,Northeast,10380,THEFT,2866,0.11868831530996955
2016.0,Olympic,10571,THEFT,2502,0.8072873486073926
2016.0,Pacific,11759,THEFT,4120,0.1708076041762772
2016.0,Rampart,9184,ASSAULT,2255,0.7911532625582844
2016.0,Southeast,11493,ASSAULT,3095,0.5688819496325074
2016.0,Southwest,14169,THEFT,3419,0.5295036073713051
2016.0,Topanga,10997,THEFT,4059,0.10915679067656463
2016.0,Van Nuys,10471,THEFT,3373,0.24302585724795836
2016.0,West LA,9375,THEFT,3418,0.009758396335838014
2016.0,West Valley,9669,THEFT,2926,0.08391086913860601
2016.0,Wilshire,9062,THEFT,2816,0.33407820733958515
2017.0,77th Street,15487,ASSAULT,4284,0.6408450979343433
2017.0,Central,11917,ASSAULT,3267,0.06244519056635138
2017.0,Devonshire,10646,THEFT,3708,0.4035747370437066
2017.0,Foothill,8169,THEFT,2157,0.026240762815426717
2017.0,Harbor,9671,THEFT,2179,0.09143673981285691
2017.0,Hollenbeck,9042,ASSAULT,2165,0.23595429577002575
2017.0,Hollywood,11294,THEFT,3019,0.37272591594849086
2017.0,Mission,10849,THEFT,2771,0.15873547584896847
