Year,District,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_0_WeaponPercentage,Hour_1_WeaponPercentage,Hour_2_WeaponPercentage,Hour_3_WeaponPercentage,Hour_4_WeaponPercentage,Hour_5_WeaponPercentage,Hour_6_WeaponPercentage,Hour_7_WeaponPercentage,Hour_8_WeaponPercentage,Hour_9_WeaponPercentage,Hour_10_WeaponPercentage,Hour_11_WeaponPercentage,Hour_12_WeaponPercentage,Hour_13_WeaponPercentage,Hour_14_WeaponPercentage,Hour_15_WeaponPercentage,Hour_16_WeaponPercentage,Hour_17_WeaponPercentage,Hour_18_WeaponPercentage,Hour_19_WeaponPercentage,Hour_20_WeaponPercentage,Hour_21_WeaponPercentage,Hour_22_WeaponPercentage,Hour_23_WeaponPercentage,Hour_0_MostUsedWeapon,Hour_1_MostUsedWeapon,Hour_2_MostUsedWeapon,Hour_3_MostUsedWeapon,Hour_4_MostUsedWeapon,Hour_5_MostUsedWeapon,Hour_6_MostUsedWeapon,Hour_7_MostUsedWeapon,Hour_8_MostUsedWeapon,Hour_9_MostUsedWeapon,Hour_10_MostUsedWeapon,Hour_11_MostUsedWeapon,Hour_12_MostUsedWeapon,Hour_13_MostUsedWeapon,Hour_14_MostUsedWeapon,Hour_15_MostUsedWeapon,Hour_16_MostUsedWeapon,Hour_17_MostUsedWeapon,Hour_18_MostUsedWeapon,Hour_19_MostUsedWeapon,Hour_20_MostUsedWeapon,Hour_21_MostUsedWeapon,Hour_22_MostUsedWeapon,Hour_23_MostUsedWeapon
2020,N Hollywood,406,307,228,239,220,177,195,198,350,340,434,415,746,455,556,533,580,593,613,562,535,511,503,427,28.32512315270936,35.50488599348534,32.45614035087719,25.523012552301257,25.0,20.33898305084746,21.53846153846154,26.767676767676768,25.142857142857146,28.823529411764703,27.64976958525346,28.19277108433735,24.396782841823057,30.54945054945055,28.9568345323741,30.58161350844278,27.241379310344826,26.30691399662732,22.185970636215334,25.97864768683274,27.850467289719628,33.07240704500978,33.79721669980119,30.44496487119438,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Newton,373,312,260,203,207,196,220,258,397,331,392,425,614,427,456,521,545,613,607,528,610,526,500,428,42.0911528150134,50.0,40.76923076923077,34.48275862068966,38.164251207729464,39.795918367346935,33.18181818181819,35.65891472868217,36.272040302267,40.483383685800604,46.42857142857143,50.35294117647059,36.644951140065146,47.540983606557376,38.377192982456144,43.37811900191939,42.38532110091743,43.3931484502447,38.220757825370676,39.96212121212121,40.32786885245901,45.247148288973385,40.8,48.36448598130841,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Northeast,320,187,173,171,129,140,178,210,315,317,386,392,589,381,440,481,437,529,544,502,485,397,362,346,30.312499999999996,41.17647058823529,34.68208092485549,36.25730994152047,24.8062015503876,24.285714285714285,21.910112359550563,31.9047619047619,27.61904761904762,28.706624605678233,26.94300518134715,30.357142857142854,28.01358234295416,33.85826771653544,27.045454545454543,29.93762993762994,27.23112128146453,29.111531190926275,27.573529411764707,31.872509960159363,31.958762886597935,34.005037783375315,33.97790055248619,32.947976878612714,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Olympic,484,304,284,220,168,196,216,214,304,373,393,390,580,394,425,466,526,609,538,554,546,490,507,419,41.735537190082646,43.75,44.71830985915493,36.81818181818181,37.5,37.244897959183675,36.11111111111111,36.44859813084112,32.23684210526316,35.388739946380696,35.11450381679389,37.17948717948718,32.93103448275862,39.08629441624365,41.411764705882355,34.33476394849785,40.49429657794677,36.94581280788177,35.687732342007436,39.53068592057762,38.27838827838828,42.04081632653061,42.80078895463511,45.58472553699284,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Pacific,465,324,282,214,203,199,231,283,391,427,458,561,784,492,605,670,612,675,745,658,626,606,554,440,35.053763440860216,33.641975308641975,31.914893617021278,33.64485981308411,32.51231527093596,25.628140703517587,21.645021645021643,25.08833922261484,27.877237851662407,31.381733021077284,24.23580786026201,29.946524064171122,22.321428571428573,30.081300813008134,26.942148760330582,27.761194029850746,28.104575163398692,30.074074074074076,31.812080536912752,31.458966565349545,29.87220447284345,30.85808580858086,30.685920577617328,35.45454545454545,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Rampart,374,247,213,203,164,129,159,235,311,347,365,366,573,388,421,490,467,571,576,490,581,472,455,391,45.18716577540107,53.036437246963565,54.929577464788736,53.20197044334976,48.78048780487805,37.98449612403101,38.36477987421384,45.1063829787234,38.263665594855304,39.76945244956772,42.73972602739726,49.72677595628415,37.696335078534034,45.618556701030926,41.56769596199525,39.183673469387756,42.61241970021413,37.478108581436075,39.75694444444444,40.61224489795918,43.71772805507745,48.09322033898305,42.857142857142854,47.82608695652174,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Southeast,439,334,301,235,189,168,170,253,368,335,457,453,618,506,512,522,592,652,642,659,598,592,620,551,52.16400911161732,62.27544910179641,59.136212624584715,57.02127659574469,58.201058201058196,52.38095238095239,48.8235294117647,47.82608695652174,50.27173913043478,54.02985074626866,54.70459518599562,55.62913907284768,44.983818770226534,54.1501976284585,60.7421875,55.172413793103445,53.20945945945946,51.99386503067485,55.295950155763244,54.17298937784521,55.51839464882943,58.27702702702703,53.064516129032256,61.524500907441016,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Southwest,453,315,251,232,162,168,211,296,393,468,482,518,723,542,563,652,578,624,645,637,599,554,605,461,45.47461368653421,44.12698412698413,45.81673306772908,40.94827586206897,43.82716049382716,36.30952380952381,38.862559241706165,38.17567567567568,30.53435114503817,38.46153846153847,45.43568464730291,47.2972972972973,37.6210235131397,39.11439114391143,41.03019538188277,44.47852760736196,41.86851211072664,40.705128205128204,40.62015503875969,40.031397174254316,43.906510851419036,47.11191335740072,47.93388429752066,50.759219088937094,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Topanga,273,209,180,155,145,116,125,151,306,289,354,357,670,376,424,419,443,490,501,485,505,390,404,313,33.33333333333333,36.36363636363637,33.33333333333333,31.61290322580645,24.137931034482758,29.310344827586203,26.400000000000002,29.80132450331126,20.915032679738562,21.10726643598616,28.24858757062147,31.652661064425768,20.746268656716417,29.25531914893617,23.11320754716981,26.49164677804296,28.216704288939056,26.73469387755102,22.75449101796407,33.81443298969072,28.910891089108908,33.07692307692307,34.65346534653465,42.17252396166134,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
2020,Van Nuys,341,235,211,183,143,159,160,191,304,303,350,372,701,383,397,456,493,572,594,462,536,432,397,361,29.32551319648094,33.191489361702125,27.488151658767773,26.229508196721312,23.776223776223777,23.270440251572328,30.625000000000004,27.225130890052355,23.355263157894736,30.363036303630363,28.000000000000004,36.29032258064516,20.256776034236804,34.20365535248042,26.952141057934508,27.850877192982455,26.97768762677485,27.447552447552447,28.619528619528616,32.683982683982684,29.291044776119403,37.96296296296296,40.302267002518896,34.903047091412745,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE,BRUTE FORCE
